"","gene1","gene2"
"58521","NCOR2","SKIL"
"58524","THRA","MED1"
"58525","PPARG","MED1"
"58527","SETD8","PCNA"
"58528","ALKBH1","DNAJB6"
"58529","DNAJB6","HDAC4"
"58530","DNAJB6","ALKBH1"
"58531","ATR","RAD1"
"58532","ATR","HUS1"
"58533","ATR","RAD9A"
"58534","ATR","RPA1"
"58536","ZCCHC12","SMAD1"
"58537","ZCCHC12","SMAD1"
"58538","CREBBP","HES6"
"58539","IL16","HDAC3"
"58540","IL16","HSPA8"
"58541","IL16","HDAC3"
"58542","IL16","HSPA8"
"58543","PPARG","KAT5"
"58546","TADA3","KAT2B"
"58547","TADA3","KAT2A"
"58552","RUVBL1","UBE2I"
"58553","RUVBL1","EP400"
"58556","RUVBL1","UBE2I"
"58557","RUVBL1","EP400"
"58558","UBE2I","RUVBL1"
"58560","RUVBL1","RORA"
"58561","RUVBL1","KAT5"
"58562","RUVBL1","CREBBP"
"58563","RUVBL1","RARA"
"58565","SMARCA4","SMARCC1"
"58566","SMARCA4","SMARCC2"
"58567","CLSPN","CDC7"
"58568","CLSPN","CDC7"
"58570","GAR1","TERC"
"58571","DKC1","TERC"
"58572","TERT","NAT10"
"58575","PRMT6","HIST4H4"
"58576","PRMT6","HIST2H3C"
"58579","HBZ","SP1"
"58580","HBZ","SP1"
"58581","HBZ","JUND"
"58582","PRMT6","HIST2H3A"
"58587","SIAH1","RUNX1"
"58589","UBE2L6","RUNX1"
"58590","UBE2L6","SIAH1"
"58591","RUNX1","RUNX1"
"58592","RUNX1","SIAH1"
"58593","RUNX1","PML"
"58594","RUNX1","RARA"
"58595","RUNX1","HDAC2"
"58596","PML","SIAH1"
"58597","PML","RARA"
"58598","PML","HDAC2"
"58599","RARA","SIAH1"
"58600","RARA","RARA"
"58601","RARA","HDAC2"
"58602","SAP30L","SIN3A"
"58603","ZFPM2","MTA1"
"58604","ZFPM2","MTA2"
"58606","ZFPM2","HDAC2"
"58608","ZFPM2","RBBP4"
"58609","ZFPM2","MTA1"
"58610","ZFPM2","MTA2"
"58613","ZFPM2","RBBP4"
"58615","MTA1","RBBP4"
"58616","VDR","SMAD3"
"58617","VDR","RXRA"
"58618","SMAD3","VDR"
"58619","RXRA","VDR"
"58620","SMAD3","VDR"
"58621","RXRA","VDR"
"58622","VDR","SMAD3"
"58627","FANCD2","RAD18"
"58628","RAD18","FANCD2"
"58629","RAD18","FANCI"
"58630","FANCD2","TNKS"
"58631","TNKS","FANCD2"
"58632","TNKS","FANCD2"
"58633","FANCD2","TNKS"
"58634","FANCD2","TERF1"
"58636","ATR","MSH2"
"58637","ATR","MSH2"
"58638","MSH2","ATR"
"58640","BRIP1","BLM"
"58641","BLM","BRIP1"
"58642","BRIP1","BRCA1"
"58643","BLM","BRIP1"
"58644","BRCA1","RPA1"
"58645","BRCA1","MLH1"
"58646","BRCA1","FANCA"
"58647","FANCA","TOP3A"
"58648","PKN1","HIST2H3C"
"58649","PAX7","WDR5"
"58650","PAX7","WDR5"
"58651","PAX7","ASH2L"
"58652","WDR5","PAX7"
"58653","WDR5","ASH2L"
"58654","ASH2L","PAX7"
"58655","ASH2L","WDR5"
"58659","CDKN1B","UBB"
"58660","CDKN1B","DDB1"
"58661","CDKN1B","SKP2"
"58663","SIN3A","HDAC2"
"58665","SP1","HDAC2"
"58667","YWHAQ","HIST2H3C"
"58672","EPOR","CISH"
"58673","EPOR","SOCS2"
"58674","EPOR","PIK3R1"
"58676","EPOR","STAT5A"
"58677","EPOR","INPP5D"
"58679","MDM2","TP53"
"58680","MYC","HIF1A"
"58681","HIF1A","MYC"
"58683","ATM","TP53"
"58684","ATM","TP53"
"58688","UBE2W","FANCL"
"58689","FANCL","UBE2W"
"58690","FANCL","UBE2W"
"58697","KAT2B","TRRAP"
"58698","KAT2B","TRRAP"
"58699","KAT2B","TAF6L"
"58702","KAT2B","TADA3"
"58704","KAT2B","TAF15"
"58707","E2F4","RBL2"
"58711","THRA","NCOR1"
"58712","THRA","GRIP1"
"58713","NCOR1","THRA"
"58714","NCOA1","THRA"
"58715","GRIP1","THRA"
"58716","CREBBP","FOSL1"
"58717","CREBBP","FOSB"
"58718","CREBBP","JUNB"
"58719","BRIP1","BLM"
"58720","CDK1","FOXM1"
"58721","CCNB1","FOXM1"
"58722","CDK2","FOXM1"
"58723","CCNE1","FOXM1"
"58726","CREBBP","FOXM1"
"58727","CDK1","FOXM1"
"58730","FANCF","FANCA"
"58739","CREBBP","KHDRBS1"
"58740","PRKACA","TNP1"
"58742","PRKACG","TNP1"
"58743","PRKACA","TNP2"
"58745","PRKACG","TNP2"
"58746","PRKCA","TNP1"
"58747","PRKCA","TNP2"
"58752","NCOR2","RUNX1T1"
"58753","RUNX1T1","NCOR2"
"58754","RUNX1T1","NCOR1"
"58755","NCOR2","RUNX1T1"
"58756","NCOR1","RUNX1T1"
"58766","NCOR1","THRA"
"58767","NCOA1","THRA"
"58769","SAP30","CHD4"
"58770","SAP30","SIN3A"
"58771","SAP30","UBASH3B"
"58773","SAP30","HDAC2"
"58774","SAP30","RBBP4"
"58776","NCOR1","Nr3c1"
"58777","NCOR2","Nr3c1"
"58778","NCOR1","NR3C1"
"58779","NCOR1","NR3C1"
"58785","TGFB1","SMAD2"
"58786","TGFB1","SMAD3"
"58787","SMAD2","KAT2A"
"58788","SMAD3","KAT2A"
"58789","SMAD1","KAT2A"
"58790","SMAD5","KAT2A"
"58792","SMAD2","KAT2B"
"58793","SMAD3","KAT2B"
"58796","CENPA","RSF1"
"58799","CENPA","SMARCA5"
"58800","CENPA","DDB1"
"58801","CENPA","SRRT"
"58802","CENPA","KIF23"
"58803","CENPA","LOC284412"
"58805","CENPA","SHCBP1"
"58806","CENPA","CENPB"
"58807","CENPA","HSPA8"
"58808","CENPA","CENPT"
"58811","CENPA","CBX8"
"58812","CENPA","ACTB"
"58816","CENPA","FBL"
"58817","CENPA","CENPH"
"58818","CENPA","CENPO"
"58820","CENPA","CBX3"
"58822","CENPA","CENPA"
"58823","CENPA","H2AFY"
"58824","CENPA","HIST1H1C"
"58826","CENPA","HIST1H2AD"
"58827","CENPA","HIST2H2BE"
"58828","CENPA","HIST1H4A"
"58830","CENPA","HPC3"
"58831","CREBBP","HIST1H3A"
"58832","CREBBP","HIST1H4A"
"58834","CREBBP","HMGB2"
"58835","KAT2B","HIST1H3A"
"58836","KAT5","HIST1H4A"
"58837","SMARCD1","NONO"
"58838","SMARCD1","SFPQ"
"58839","SMARCD1","SMARCA4"
"58840","SMARCD1","SMARCA2"
"58841","SMARCD1","SMARCB1"
"58842","SMARCA2","NONO"
"58843","SMARCA2","SFPQ"
"58844","SMARCA2","SMARCA4"
"58845","SMARCA2","SMARCB1"
"58846","SMARCA4","NONO"
"58847","SMARCA4","SMARCA2"
"58848","SMARCA4","SMARCB1"
"58849","NONO","SMARCA4"
"58850","NONO","SMARCB1"
"58851","NONO","SMARCC1"
"58852","NONO","SMARCD1"
"58853","NONO","SFPQ"
"58854","PPARD","RELA"
"58864","YY1","PRKDC"
"58865","YY1","INO80"
"58866","YY1","ACTR8"
"58867","YY1","HSPA4"
"58868","YY1","ACTR5"
"58869","YY1","ACTL6A"
"58870","YY1","RUVBL1"
"58872","ACTL6A","YY1"
"58873","RUVBL1","YY1"
"58875","INO80","YY1"
"58876","INO80","YY1"
"58877","YY1","RUVBL1"
"58879","YY1","TP53"
"58880","YY1","ACTL6A"
"58888","CHD4","SIN3A"
"58889","CHD4","UBASH3B"
"58890","CHD4","SAP30"
"58892","CHD4","HDAC2"
"58893","CHD4","RBBP4"
"58896","SAP30","CHD4"
"58897","SAP30","SIN3A"
"58899","SAP30","HDAC2"
"58901","SAP30","RBBP4"
"58908","CHD4","MTA2"
"58910","CHD4","HDAC2"
"58912","CHD4","RBBP4"
"58914","RBBP4","CHD4"
"58921","SREBF1","CREBBP"
"58922","SIN3A","BCL6"
"58923","BCL6","SIN3A"
"58924","BCL6","SIN3A"
"58926","NCOA1","NCOA2"
"58927","JAK3","STAT5A"
"58932","KAT2A","GATA2"
"58933","NCOA1","STAT6"
"58938","GATA4","SP1"
"58939","GATA6","SP1"
"58940","SP1","GATA4"
"58941","SP1","GATA6"
"58942","NCOR1","POU1F1"
"58943","POU1F1","NCOR1"
"58944","HESX1","NCOR1"
"58945","POU1F1","CREBBP"
"58946","CREBBP","POU1F1"
"58947","PCNA","POLB"
"58948","PCNA","POLD1"
"58952","NCOR1","THRB"
"58953","SNW1","NCOR1"
"58954","SNW1","NCOR2"
"58955","SNW1","NCOR1"
"58957","NCOR1","SNW1"
"58959","MAPK1","CENPE"
"58961","MAPK1","CENPE"
"58962","CENPE","MAPK1"
"58964","PIAS4","HDAC2"
"58965","SMARCB1","SMARCA4"
"58966","SMARCB1","SMARCA2"
"58967","SMARCB1","SMARCC1"
"58986","PRPF19","KPNA2"
"58987","PRPF19","KPNA1"
"58988","PRPF31","KPNA2"
"58989","PRPF31","KPNA1"
"58990","PLRG1","KPNA2"
"58991","PLRG1","KPNA1"
"58992","AICDA","KPNA1"
"58998","CREBBP","IRF1"
"58999","CREBBP","RELA"
"59000","CREBBP","JUN"
"59001","CREBBP","ATF2"
"59002","CREBBP","SMARCA4"
"59003","CREBBP","SMARCC2"
"59004","CREBBP","SMARCC1"
"59005","CREBBP","SMARCB1"
"59006","SMARCC1","SMARCA4"
"59007","SMARCC1","SMARCB1"
"59008","SMARCA4","SMARCC1"
"59009","SMARCA4","SMARCB1"
"59010","MLH1","PMS2"
"59011","MLH1","BRIP1"
"59012","BRIP1","PMS2"
"59013","BRIP1","MLH1"
"59014","RAD18","FANCD2"
"59016","PCNA","FANCL"
"59017","PCNA","FANCA"
"59018","PCNA","FANCE"
"59019","FANCL","PCNA"
"59020","FANCL","PCNA"
"59022","TP53","HDAC2"
"59023","TP53","PRAM1"
"59024","TP53","PML"
"59039","NCOR1","TAF6"
"59042","NR1D2","NCOR1"
"59044","NR1D2","TAF6"
"59045","NR1D2","SIN3B"
"59047","NR3C1","NCOA1"
"59048","NR3C1","NCOA2"
"59049","NR3C1","CREBBP"
"59055","MYC","SP1"
"59056","MYC","MAX"
"59057","MYC","KAT5"
"59061","MYC","KAT5"
"59062","SMAD2","CREBBP"
"59063","SMAD2","SMARCC2"
"59065","SMAD2","SMARCC1"
"59066","SMAD2","SMARCA4"
"59067","SMAD2","ERBB2IP"
"59068","SMAD2","TRIM33"
"59070","SMAD3","CREBBP"
"59071","SMAD3","SMARCC2"
"59073","SMAD3","SMARCC1"
"59074","SMAD3","SMARCA4"
"59075","SMAD3","ERBB2IP"
"59076","SMAD3","TRIM33"
"59078","SMARCA4","SMAD2"
"59079","SMARCA4","SMAD3"
"59080","SMAD2","SMARCA4"
"59081","SMAD3","SMARCC2"
"59085","PALB2","RAD51"
"59086","BRCA1","POU2F1"
"59087","POU2F1","BRCA1"
"59088","PALB2","RAD51AP1"
"59091","CEBPD","FANCD2"
"59092","CEBPD","IPO4"
"59093","CEBPD","SPAG5"
"59095","CEBPD","UBR5"
"59096","CEBPD","XPO1"
"59097","FANCD2","CEBPD"
"59098","FANCD2","CEBPD"
"59099","CEBPD","FANCD2"
"59100","CEBPD","IPO4"
"59101","IPO4","CEBPD"
"59102","IPO4","FANCD2"
"59103","ABCB1","DHX9"
"59118","TRIM28","SKI"
"59119","TRIM28","SIN3A"
"59124","NCOR1","TRIM28"
"59129","SETD1A","CXXC1"
"59130","SETD1A","ASH2L"
"59131","SETD1A","RBBP5"
"59133","SETD1A","HCFC1"
"59134","SETD1A","POLR2A"
"59136","SETD1B","ASH2L"
"59137","SETD1B","POLR2A"
"59141","STAT6","NCOA1"
"59142","STAT6","NCOA1"
"59143","STAT6","NCOA2"
"59144","KAT5","NR1D2"
"59145","KAT5","NR1D2"
"59151","CHRAC1","SMARCA5"
"59152","POLE3","SMARCA5"
"59155","NPM1","FANCA"
"59157","RAD18","PCNA"
"59158","Ube2n","UBE2V2"
"59159","Ube2n","UBC"
"59161","PJA2","UBE2D2"
"59163","PJA2","UBC"
"59165","EGFR","UBC"
"59166","EGFR","UBC"
"59167","EGFR","HSP90AA1"
"59168","EGFR","HSPA4"
"59169","ERBB2","UBC"
"59170","ERBB2","HSP90AA1"
"59171","ERBB2","HSPA4"
"59173","CBL","PIK3R1"
"59174","EGFR","UBC"
"59175","CBL","SPRY2"
"59176","MAPK1","SPRY2"
"59177","EGFR","SPRY2"
"59178","EGFR","UBC"
"59179","COPS2","COPS3"
"59180","COPS2","COPS8"
"59181","COPS2","CUL1"
"59183","CUL1","COPS2"
"59184","NFKBIA","UBC"
"59185","HIST2H3A","UBC"
"59186","HIST2H2AC","UBC"
"59187","HIST2H2BC","UBC"
"59188","HIST2H4A","UBC"
"59189","EZH1","EED"
"59195","CREBBP","ETS1"
"59196","ETS1","CREBBP"
"59198","LYZ","UBC"
"59200","SIN3A","SMN1"
"59201","SIN3B","SMN1"
"59202","HDAC2","SMN1"
"59203","HDAC2","SIN3A"
"59205","FAN1","MLH1"
"59206","FAN1","MLH3"
"59207","FAN1","PMS1"
"59208","FAN1","PMS2"
"59209","FAN1","FAN1"
"59210","FAN1","MLH1"
"59211","FAN1","MLH3"
"59212","FAN1","PMS2"
"59213","PMS2","FAN1"
"59214","MLH3","FAN1"
"59215","MLH1","FAN1"
"59216","FANCD2","FAN1"
"59217","FANCD2","FAN1"
"59223","MDM2","TP53"
"59224","MDM2","TP53"
"59225","AKT1","MDM2"
"59226","AKT1","UBC"
"59227","UBC","NFKBIA"
"59228","UBC","TRAF2"
"59229","TAL1","UBC"
"59232","CBL","UBC"
"59236","UBE2I","PIAS2"
"59237","TP53","PIAS2"
"59239","PIAS2","JUN"
"59240","PIAS1","JUN"
"59241","PIAS2","TP53"
"59242","PIAS1","TP53"
"59245","HIF1A","VHL"
"59246","UBC","EGFR"
"59252","CBL","CSF1R"
"59253","CBL","CSF1R"
"59256","SNRNP70","SKP1"
"59257","SNRNP70","CUL1"
"59259","CDC25C","UBC"
"59260","GSK3B","GSK3B"
"59265","EGFR","UBC"
"59266","CBL","GRB2"
"59267","CHFR","UBC"
"59268","CHFR","PLK1"
"59269","PLK1","UBC"
"59270","CASP6","UBE4A"
"59271","GZMB","UBE4A"
"59274","UBC","NOTCH1"
"59275","NOTCH1","CBL"
"59276","FAN1","FANCD2"
"59277","FAN1","FANCD2"
"59278","FAN1","FAN1"
"59279","FAN1","FANCI"
"59280","FAN1","PMS2"
"59281","FAN1","PMS1"
"59282","FAN1","KPNB1"
"59283","FAN1","MLH1"
"59284","FAN1","FANCG"
"59285","FAN1","RFC3"
"59286","FAN1","RFC4"
"59287","FAN1","PCNA"
"59288","FAN1","UBB"
"59289","FAN1","YWHAE"
"59290","FAN1","YWHAZ"
"59291","FAN1","MLH1"
"59292","FAN1","FANCD2"
"59293","FAN1","FANCI"
"59294","FAN1","FANCD2"
"59295","FAN1","FANCI"
"59296","FAN1","MLH1"
"59297","FANCD2","FAN1"
"59308","NCOR1","RARA"
"59309","RARA","NCOR1"
"59310","RARA","KAT2B"
"59311","CREBBP","KAT2B"
"59312","KAT2B","CREBBP"
"59313","CREBBP","KAT2B"
"59314","KAT2B","NCOA1"
"59316","KAT2B","NCOA1"
"59322","THRB","RXRA"
"59323","THRB","NCOR2"
"59324","RARA","RXRA"
"59325","RARA","NCOR2"
"59326","NCOR2","RXRA"
"59327","NCOR2","RARA"
"59328","THRA","NCOR2"
"59331","TP53","DNMT1"
"59332","CHEK1","DNMT1"
"59333","DNMT1","CHEK1"
"59335","CD86","UBC"
"59339","UBE2D1","UBC"
"59340","UBE2E1","UBC"
"59342","Ndfip1","NEDD4L"
"59343","Ndfip1","WWP2"
"59344","Ndfip1","ITCH"
"59345","Ndfip1","UBC"
"59346","TP53","MDM2"
"59350","CBL","SYK"
"59351","CBL","SYK"
"59352","SYK","UBC"
"59353","ORC1","UBC"
"59354","UBC","ORC1"
"59356","AKT1","MDM2"
"59357","AKT1","MDM2"
"59358","MDM2","TP53"
"59359","TP53","TP53"
"59360","TP53","UBC"
"59361","CXCR4","UBC"
"59362","FANCG","ERCC4"
"59363","FANCG","ERCC1"
"59364","FANCG","ERCC1"
"59365","ERCC1","FANCG"
"59366","CSNK2A2","MAF1"
"59367","CSNK2A1","MAF1"
"59370","FANCG","FANCA"
"59371","FANCA","FANCG"
"59373","XRCC3","FANCG"
"59377","FANCG","FANCF"
"59379","FANCF","FANCG"
"59383","BLID","BCL2"
"59385","UBE4B","VCP"
"59386","MYL6B","IQGAP1"
"59387","FANCM","FANCA"
"59388","FANCM","FANCM"
"59389","FANCM","FANCG"
"59390","FANCM","C19orf40"
"59391","FANCM","APITD1"
"59392","FANCM","STRA13"
"59393","APITD1","FANCA"
"59394","APITD1","FANCM"
"59395","APITD1","FANCG"
"59396","APITD1","FANCF"
"59397","APITD1","FANCB"
"59398","APITD1","C17orf70"
"59399","APITD1","STRA13"
"59400","APITD1","FANCL"
"59401","STRA13","FANCL"
"59402","STRA13","APITD1"
"59403","STRA13","FANCA"
"59404","STRA13","FANCM"
"59405","APITD1","BLM"
"59406","APITD1","FANCM"
"59407","APITD1","TOP3A"
"59408","APITD1","C17orf70"
"59409","APITD1","FANCB"
"59410","APITD1","RMI1"
"59411","APITD1","FANCL"
"59412","APITD1","FANCF"
"59413","APITD1","C19orf40"
"59414","APITD1","APITD1"
"59415","APITD1","RMI2"
"59416","APITD1","STRA13"
"59417","FANCL","FANCM"
"59418","FANCL","FANCA"
"59419","FANCL","C17orf70"
"59420","FANCL","FANCG"
"59421","FANCL","APITD1"
"59422","FANCL","STRA13"
"59423","FANCG","FANCM"
"59424","FANCG","FANCA"
"59425","FANCG","C17orf70"
"59426","FANCG","FANCL"
"59427","FANCG","APITD1"
"59428","FANCG","STRA13"
"59429","APITD1","STRA13"
"59430","APITD1","FANCA"
"59431","APITD1","FANCM"
"59432","APITD1","FANCL"
"59433","APITD1","C19orf40"
"59434","APITD1","FANCM"
"59435","BRIP1","MLH1"
"59436","BRIP1","BRCA1"
"59437","TOPBP1","BRIP1"
"59438","TOPBP1","BRIP1"
"59439","BRIP1","TOPBP1"
"59440","TOPBP1","BRIP1"
"59441","TOPBP1","RPA1"
"59442","BRIP1","RPA1"
"59443","TP53","CREBBP"
"59444","CREBBP","TP53"
"59450","WDR48","WDR20"
"59451","USP12P1","WDR20"
"59452","USP46","WDR20"
"59453","WDR20","WDR48"
"59454","WDR20","USP12P1"
"59455","WDR20","WDR48"
"59456","WDR20","USP12P1"
"59457","USP1","USP1"
"59458","USP1","ATAD5"
"59459","USP1","WDR48"
"59460","USP1","ATAD5"
"59461","ATAD5","WDR48"
"59462","ATAD5","RFC4"
"59463","PCNA","ATAD5"
"59464","PCNA","ATAD5"
"59465","EIF2S1","EIF2AK2"
"59466","EIF2AK2","EIF2S1"
"59468","CREBBP","TP53"
"59469","TP53","CREBBP"
"59478","CREBBP","NCOA1"
"59480","NCOA1","CREBBP"
"59481","NCOA2","CREBBP"
"59486","RARA","NCOA1"
"59487","RARA","NCOA2"
"59490","FANCM","FANCA"
"59491","FANCM","FANCE"
"59492","FANCM","FANCF"
"59493","FANCM","BLM"
"59494","FANCM","RMI1"
"59495","FANCM","RMI2"
"59496","FANCM","TOP3A"
"59497","FANCM","C19orf40"
"59498","FANCM","CLK2"
"59499","FANCM","FANCF"
"59500","FANCM","RMI1"
"59501","FANCM","TOP3A"
"59502","FANCF","FANCM"
"59503","FANCF","FANCA"
"59504","FANCF","FANCE"
"59505","FANCF","RMI1"
"59506","RMI1","FANCM"
"59507","RMI1","BLM"
"59508","RMI1","RMI2"
"59509","RMI1","TOP3A"
"59510","Ankmy2","GUCY2D"
"59511","FANCD2","FOXO3"
"59512","FOXO3","FANCD2"
"59513","ESRRA","ESRRG"
"59514","BHLHE41","BHLHE41"
"59515","BHLHE41","MYOD1"
"59516","MYOD1","BHLHE41"
"59517","MYOD1","BHLHE40"
"59521","NCOR2","RARA"
"59523","KAT2B","RARA"
"59524","NCOA1","RARA"
"59526","CREBBP","RARA"
"59527","STAT3","NCOA1"
"59528","NCOA1","STAT3"
"59529","MYC","MAX"
"59530","MYC","PIAS2"
"59531","STAT3","SP1"
"59532","SP1","STAT3"
"59534","KDM3A","MKL2"
"59535","KDM3A","MYOCD"
"59537","CIITA","HDAC2"
"59538","CIITA","SIN3B"
"59539","GSK3B","CIITA"
"59540","SP1","YY1"
"59541","YY1","SP1"
"59544","LEF1","E2F1"
"59546","NCL","PRMT5"
"59547","KDM5B","FOXG1"
"59548","KDM5B","PAX9"
"59549","KDM5B","LMO2"
"59560","MED1","MED16"
"59561","MED1","KAT2A"
"59563","MED1","SUPT7L"
"59564","KAT2A","MED16"
"59565","KAT2A","MED1"
"59566","KAT2A","MED17"
"59569","KAT2A","SUPT7L"
"59570","SUPT7L","MED16"
"59571","SUPT7L","MED17"
"59580","MED1","MED17"
"59582","MYC","KAT2A"
"59583","MYC","MED1"
"59584","MYC","MED16"
"59585","TRRAP","NPAT"
"59586","NPAT","TRRAP"
"59594","HDAC2","DNMT1"
"59598","CTBP1","WIZ"
"59599","CTBP1","RCOR1"
"59600","CTBP1","HDAC2"
"59602","CTBP1","CDYL"
"59604","CTBP1","UBE2I"
"59605","RCOR1","CTBP1"
"59606","HDAC2","CTBP1"
"59608","CDYL","WIZ"
"59615","MYOD1","KAT2B"
"59616","RARA","LRIF1"
"59617","RARA","LRIF1"
"59618","LRIF1","RARA"
"59621","LRIF1","RORA"
"59622","LRIF1","PPARG"
"59623","LRIF1","THRB"
"59624","LRIF1","NR3C1"
"59631","EZH2","PHB2"
"59632","TADA3","TP53"
"59637","SFPQ","NONO"
"59638","SIN3A","SFPQ"
"59640","DNMT3A","CBX4"
"59641","DNMT3A","CBX4"
"59642","CBX4","DNMT3A"
"59646","SMAD2","SMAD7"
"59647","SMAD4","SMAD7"
"59648","NLK","CHD7"
"59650","NLK","PPARG"
"59651","NLK","CHD7"
"59653","NLK","PPARG"
"59654","NLK","CHD7"
"59655","PPARG","CHD7"
"59657","PPARG","NLK"
"59666","TLK2","ASF1B"
"59667","MYOCD","MYOD1"
"59668","NR3C1","NR2F2"
"59669","NR3C1","NR2F2"
"59670","NR2F2","NR3C1"
"59671","NR2F2","NR3C1"
"59672","NR3C1","NR2F2"
"59673","BLM","ATR"
"59674","ATR","BLM"
"59675","ATR","BLM"
"59676","SIN3A","RUNX1"
"59677","RUNX1","SIN3A"
"59678","RUNX1","CBFB"
"59680","CARM1","SMARCA4"
"59681","CARM1","SMARCC2"
"59682","CARM1","SMARCC1"
"59683","CARM1","NFKB1"
"59684","CARM1","SMARCE1"
"59685","CARM1","SMARCB1"
"59686","CARM1","ACTB"
"59687","CARM1","SMARCD1"
"59689","CARM1","SMARCA4"
"59690","CARM1","SMARCC2"
"59691","CARM1","SMARCC1"
"59692","CARM1","SMARCE1"
"59693","CARM1","ACTB"
"59694","CARM1","SMARCD1"
"59695","CARM1","SMARCA4"
"59696","SMARCA4","CARM1"
"59697","GRIP1","VDR"
"59698","RXRA","VDR"
"59700","PRMT1","HIST2H4A"
"59701","PRMT1","HIST2H4A"
"59702","PRMT1","PRMT1"
"59703","PRMT1","GRIP1"
"59704","HDAC3","YY1"
"59720","ASH2L","WDR5"
"59723","MLL2","ASH2L"
"59724","MLL2","RBBP5"
"59725","MLL2","WDR5"
"59729","ASH2L","RBBP5"
"59734","RBBP5","WDR5"
"59736","RBBP5","ASH2L"
"59738","MYC","SP1"
"59739","MYC","PIAS2"
"59740","MYC","MAX"
"59741","MXD1","MAX"
"59742","SP1","MYC"
"59743","PIAS2","MYC"
"59744","MAX","MYC"
"59745","MAX","HIF1A"
"59746","MAX","EPAS1"
"59747","CREBBP","ETS2"
"59748","ETS2","CREBBP"
"59749","ETS2","CREBBP"
"59752","CREBBP","NCOA1"
"59753","CREBBP","TP53"
"59755","HDAC3","NCOR1"
"59758","HIST1H3A","CHAF1A"
"59760","HIST1H3A","IPO4"
"59761","HIST1H3A","CHAF1B"
"59762","HIST1H3A","RBBP4"
"59763","HIST1H3A","HAT1"
"59765","HIST1H3A","ASF1B"
"59766","HIST1H3A","HIST1H4A"
"59778","HIST1H3A","ASF1B"
"59779","HIST1H3A","HIST1H3A"
"59783","ASH1L","HIST1H3A"
"59784","HSF1","MTA1"
"59785","MTA1","HSF1"
"59786","HSF1","MTA1"
"59788","HSF1","HDAC2"
"59789","HSF1","CHD3"
"59791","MTA1","CHD3"
"59792","MTA1","TP53"
"59793","TP53","MTA1"
"59794","MTA1","TP53"
"59796","CEBPD","HDAC3"
"59797","CEBPD","HDAC4"
"59817","NCOA1","ESR2"
"59818","NCOR2","ESR2"
"59819","YY1","RELB"
"59828","EED","EZH2"
"59833","PHB2","PHB"
"59834","PHB","PHB2"
"59837","ING2","COPS2"
"59839","ING2","COPS2"
"59840","ATF4","KAT2B"
"59841","CREBBP","KHDRBS1"
"59842","PRMT1","KHDRBS1"
"59843","CREBBP","SH3GL1"
"59844","PRMT1","SH3GL1"
"59845","SH3GL1","PRMT1"
"59846","SH3GL1","KHDRBS1"
"59847","SH3GL1","CREBBP"
"59848","ZNF395","SAP30"
"59849","ZNF395","SAP30"
"59852","HSP90AA1","PRMT5"
"59853","HSP90AA1","RAF1"
"59855","ATM","TP53"
"59856","KAT5","NMI"
"59857","KAT5","NMI"
"59858","NMI","KAT5"
"59860","ATXN3","CREBBP"
"59866","GRIP1","CARM1"
"59897","ADNP","SMARCC2"
"59898","ADNP","SMARCA4"
"59899","SMARCA4","ADNP"
"59911","HIRIP3","CSNK2A1"
"59913","CSNK2A1","HIRIP3"
"59979","TP53","HDAC2"
"59981","YY1","HDAC2"
"59982","NFKB1","HDAC2"
"59983","RELA","HDAC2"
"59984","SIN3A","HDAC2"
"59985","CHD3","HDAC2"
"59990","MBD3","HDAC2"
"59991","RBBP4","HDAC2"
"59992","SIN3A","CSNK2A1"
"59993","CHD3","CSNK2A1"
"59995","CSNK2A1","HDAC2"
"59996","CSNK2A1","SIN3A"
"59997","HDAC2","RBBP4"
"60018","SMAD1","PSMB4"
"60019","SMAD1","OAZ1"
"60020","OAZ1","PSMB4"
"60021","PSMB4","OAZ1"
"60022","SMAD1","UBC"
"60023","VHL","HIF1A"
"60024","VHL","HIF1A"
"60026","DDB2","UBC"
"60049","VDR","MED1"
"60050","VDR","RXRA"
"60051","VDR","NCOA1"
"60052","Ror2","FZD5"
"60055","SMARCA4","STAT5A"
"60057","SMARCA4","NR3C1"
"60058","SMAD1","SKI"
"60059","SMAD2","SKI"
"60060","SMAD5","SKI"
"60065","SMAD4","SKI"
"60066","SKI","SMAD3"
"60067","SKI","SMAD4"
"60068","Shc1","APP"
"60085","YY1","YY1"
"60087","JUNB","YY1"
"60088","JUND","YY1"
"60089","NBN","ATM"
"60123","ASH2L","ASH2L"
"60124","ASH2L","RBBP5"
"60127","RBBP5","ASH2L"
"60128","RBBP5","RBBP5"
"60133","MRE11A","RAD50"
"60134","MRE11A","NBN"
"60135","RAD50","MRE11A"
"60136","RAD50","NBN"
"60138","WDR5","RBBP5"
"60140","C16orf53","RBBP5"
"60141","C16orf53","ASH2L"
"60143","MLL3","RBBP5"
"60144","MLL3","ASH2L"
"60146","MLL4","RBBP5"
"60147","MLL4","ASH2L"
"60148","C16orf53","MLL4"
"60149","C16orf53","MLL3"
"60151","C16orf53","WDR5"
"60154","WRN","DHX9"
"60155","TP53","NR3C1"
"60156","TP53","NR3C1"
"60157","TP53","MDM2"
"60158","NR3C1","TP53"
"60159","NR3C1","MDM2"
"60160","UBC","NR3C1"
"60163","NR3C1","UBC"
"60164","JUP","Cdh1"
"60165","JUP","Dsc1"
"60166","JUP","Dsg1a"
