"","gene1","gene2"
"1234","DTNB","NUP62"
"1236","ACTB","ACTB"
"1237","ZNF165","CCDC85B"
"1242","MCRS1","KXD1"
"1243","DNAJA3","FAM131C"
"1245","VPS25","RHOXF2"
"1246","CCDC85B","TCEANC"
"1248","TRIM37","TCEB3B"
"1252","TRAF2","USP53"
"1254","DVL2","CCDC33"
"1255","KHDRBS3","ZNF408"
"1256","Cep63","USHBP1"
"1257","TP53","MAGEB18"
"1258","SNRPG","DDIT4L"
"1260","ACY1","TTC1"
"1262","KRT20","EXOC8"
"1263","STX8","CREB3"
"1264","UBE2I","C18orf25"
"1265","NFIC","TPD52L3"
"1266","RTN1","FAM160A2"
"1267","SDPR","NUDT18"
"1269","WWP1","ZNF638"
"1271","LMO3","RALYL"
"1273","BTG1","CNOT8"
"1275","SMARCD1","CCDC85B"
"1277","PSMA1","NECAB2"
"1278","SRPK2","U2AF2"
"1281","PLSCR1","SPG7"
"1282","DNAL4","DYNLL2"
"1283","PTK2","SOCS2"
"1284","TBC1D5","GABARAPL2"
"1285","PLDN","PLEKHF2"
"1286","GPS2","C19orf57"
"1288","RCBTB2","COPS4"
"1289","CCDC85B","CCDC11"
"1290","AP2B1","KIAA0408"
"1291","SDCBP2","C1orf35"
"1292","PLOD3","RHOXF2"
"1293","SPRY2","SPRYD5"
"1296","TRAF2","NECAP2"
"1298","RBPMS","ZC3H10"
"1300","SQSTM1","GABARAPL2"
"1307","MLLT6","MED15"
"1309","PIN1","TSC22D4"
"1311","DAZAP2","BATF2"
"1313","PAFAH1B2","PAFAH1B3"
"1314","RIBC2","BEGAIN"
"1315","KRT15","C10orf10"
"1317","KRT19","HGS"
"1318","ACTG1","CFL2"
"1325","LASP1","TRIP13"
"1329","PAICS","CEP76"
"1331","XRCC4","IFFO1"
"1332","PTPN9","RTN3"
"1339","KRT19","DGCR6L"
"1341","LASP1","PLSCR1"
"1342","SOX30","BAMBI"
"1343","DYNC1I2","DYNLT3"
"1347","TADA3","CCDC101"
"1348","MAGEA4","UQCRB"
"1351","GAD1","HAAO"
"1354","LDOC1","AEBP2"
"1355","SSSCA1","ALS2CR11"
"1357","RBPMS","RHOXF2"
"1358","USP2","HOOK2"
"1359","COMT","TRIP13"
"1362","RUNX1T1","ABI3"
"1364","CHCHD3","KRTAP4-12"
"1365","TOLLIP","RHOXF2"
"1368","ACCS","ACCS"
"1370","KRT15","EXOC8"
"1372","RCOR3","Cep70"
"1373","ZNF165","KAT7"
"1374","BEGAIN","C17orf28"
"1376","PLSCR1","NTN4"
"1380","KHDRBS3","BAHD1"
"1381","WBP11","RTN4IP1"
"1384","ZBTB16","SPOP"
"1387","MAGEA11","COX7A2L"
"1388","CCDC85B","TUBGCP4"
"1389","CPSF6","WWP1"
"1390","TSC22D4","FRMD6"
"1394","APEH","APEH"
"1400","NUDT18","TIFA"
"1402","PNKP","KRTAP4-12"
"1405","PPP2CA","TRIP13"
"1410","DVL2","DPPA2"
"1411","DAZAP2","STAM2"
"1412","TRIM23","C19orf57"
"1413","SATB1","UBE2I"
"1414","TRIM37","FXR2"
"1417","KRT19","ABI2"
"1418","GPRIN2","SPRY2"
"1419","NFIC","ZCCHC14"
"1421","RAB3IL1","NUDT18"
"1425","PIN1","RAI1"
"1426","NFIC","ZNF167"
"1427","FXR2","PSME3"
"1428","TFF1","UBQLN1"
"1430","EXOC7","KXD1"
"1432","CALCOCO2","PIAS4"
"1433","PLSCR1","LOC284440"
"1435","ZNF446","ZNF496"
"1436","TRAF2","ZBTB16"
"1439","C1orf94","MAPK1IP1L"
"1440","FATE1","RNF183"
"1443","TRAF2","FXR2"
"1446","TRIP13","C2orf51"
"1447","ILF3","MAGEA11"
"1448","TNNT1","CCDC85B"
"1449","STX11","TAF6L"
"1450","CCDC85B","KRT20"
"1451","TRAF2","TCEB3B"
"1452","FXR2","RALYL"
"1453","PSMC4","PSMC5"
"1454","TCEANC","C1orf190"
"1458","MOAP1","DPPA2"
"1466","TSG101","PPFIBP2"
"1467","TRAF2","SPATA2"
"1469","SFN","PLEKHF2"
"1470","KAT7","HOOK2"
"1472","NCKIPSD","DMRTB1"
"1474","EPS8","CCDC85B"
"1476","MAGEA11","CLUAP1"
"1480","TRIM23","GEM"
"1481","RNF8","CEP44"
"1482","ZNF250","KRTAP4-12"
"1483","PCBD1","FXR2"
"1484","RAI1","TESC"
"1485","AP2M1","FXR2"
"1486","APPBP2","MUL1"
"1487","TRIM37","FAM107A"
"1488","RBPMS","CDC42EP1"
"1489","ACTN1","XRCC4"
"1490","TRAF2","TCEANC"
"1491","KRT15","TCHP"
"1492","FXR2","THAP1"
"1494","KIAA1279","CEP76"
"1496","TRIP13","ASB13"
"1498","CALCOCO2","CCDC33"
"1500","SSSCA1","MYO15B"
"1501","TRIP13","TRIP13"
"1502","AP2B1","DHX58"
"1503","EXOC7","IFT20"
"1504","DOK2","KIAA1279"
"1505","KXD1","NUDT18"
"1506","DAZAP2","POLI"
"1509","LPXN","ZNF426"
